"variable","n","media","sd","mediana","q25","q75","iqr","min","max"
"lt06_awa1",16,2.07573492911432,1.90704768071054,1.52113802619137,0.738473778379639,2.63224366026966,1.89376988189002,0.0506553173268902,6.95518611603601
"lt07_awa2",16,1.0329555430819,0.902914023664779,0.706618043015238,0.485411722278586,1.3543311347685,0.868919412489917,0.0340805290340059,2.96935735606005
"lt08_awa3",16,1.10320256158203,0.88934304057358,0.984223869781106,0.365220567062392,1.44551158354162,1.08029101647923,0.0504358929599346,3.48918169756046
"lt09_tru1",16,1.84347658395527,2.30739076783981,1.20131266884479,0.673741171292912,1.95376001910486,1.28001884781194,0.0356868724407042,9.70920462663373
"lt10_tru2",16,1.19288560967805,0.963525308006045,1.07978721157486,0.464831442900086,1.4977059906637,1.03287454776361,0.106648669938731,3.56288475341852
"lt11_tru3",16,1.50880302734748,1.00893331212448,1.47788784601699,0.556537086666087,2.05730434470347,1.50076725803738,0.308417934086086,3.98764455409006
"lt12_pbe1",16,1.83548030723286,1.53803705079929,1.59107695999133,0.65674201575112,2.43133751744213,1.77459550169101,0.0235307601737977,5.9472209823882
"lt13_pbe2",16,0.999950833224956,0.616127295807731,0.947051937079073,0.447432327846646,1.52005816605077,1.07262583820413,0.168839716449998,2.05272988417179
"lt14_pbe3",16,1.31348123210021,0.844670451488955,1.24673108694312,0.66576290568199,1.86732470209435,1.20156179641236,0.171705085770055,3.03175647537996
"lt15_sef1",16,2.03574799313857,2.24698078951458,1.22256559990747,0.839116878235305,2.16001349685196,1.32089661861665,0.0758020429214958,7.35753974318164
"lt16_sef2",16,2.54590305695973,3.87037628562098,0.998040679376478,0.450132110509909,1.42485105375409,0.974718943244178,0.0494927428009767,11.9629908229276
"lt17_sef3",16,0.881102421504468,0.523497988464952,0.812805862416643,0.611361246642821,1.23500256903493,0.623641322392111,0.0530961617943811,1.92420310313581
"lt18_exp1",16,0.899862066817029,0.493402365019102,0.898455386419751,0.528582832224893,1.15989021084287,0.631307378617975,0.0412873670208147,1.73033416963069
"lt19_exp2",16,1.08945415436333,0.790118208756738,1.13919028265459,0.346467090856948,1.49770595066542,1.15123885980847,0.14444066254285,3.1280276816609
"lt20_exp3",16,1.08155242453444,0.67260511793677,0.998267577612214,0.666224041453027,1.45814583532892,0.791921793875892,0.0616054403812157,2.15285760105148
"lt21_sup1",16,0.663896504974695,0.396997812738814,0.709920479989536,0.311395102418113,1.00372983896056,0.692334736542446,0.0559306234287167,1.19465180646394
"lt22_sup2",16,0.630679735020003,0.443556983220364,0.524042986607032,0.299564675775954,0.843555156001673,0.54399048022572,0.153803440084966,1.78298480517527
"lt23_sup3",16,2.00754492575154,4.11120820867525,0.799840157950637,0.379149386233536,0.939396102123309,0.560246715889773,0.0392468767474411,16.759538452683
"lt24_opp1",16,0.782112450189092,0.498406991841042,0.754012282772421,0.494383460692674,0.953742047370627,0.459358586677953,0.0304771100406014,2.08663383120766
"lt25_opp2",16,0.932494767044645,0.85865035343856,0.691441109991965,0.236409270635363,1.27733333705603,1.04092406642067,0.0542683583344042,2.99403971639219
"lt26_opp3",16,0.87433269780886,0.781168732004969,0.739033284724731,0.331743914766178,0.987464701395035,0.655720786628857,0.142094177824583,3.10036184758018
"lt27_loc1",16,0.902272303909446,0.587781848679701,0.696620494547911,0.469212979500364,1.27086414174241,0.80165116224205,0.249736723333835,2.37516585436345
"lt28_loc2",16,1.69033971667369,2.96139749499469,0.989652532931767,0.493707239744941,1.38324033898623,0.889533099241286,0.162564688677973,12.5115841733113
"lt29_loc3",16,1.19539329418595,1.12391485784337,0.880202025691285,0.451791403495707,1.27515295043354,0.823361546937836,0.207913344365879,3.97295911310143
"lt30_reg1",16,0.608755246945402,0.403006470341942,0.540301115251815,0.281614708684833,0.791325432677005,0.509710723992172,0.165106053396591,1.70797172577448
"lt31_reg2",16,0.693484871727245,0.493624990861207,0.593657030257261,0.318238360889511,1.11176749734798,0.793529136458473,0.114186851211073,1.92390045478941
"lt32_reg3",16,0.80792850124892,0.423800610941152,0.897560121716335,0.47986189585779,1.08558676404596,0.605724868188171,0.161501429216188,1.51699268270254
"lt33_amb1",16,0.990828094617765,1.32395486205204,0.64393188588155,0.414454192526559,1.03340676013482,0.618952567608257,0.161350985406951,5.77144230758379
"lt34_amb2",16,0.937644531759751,0.613944762351907,0.682463765532239,0.444713270481176,1.29128085930958,0.846567588828402,0.11062062162885,2.18635416161167
"lt35_amb3",16,0.691169032171398,0.483492970909845,0.519785402945246,0.30231836695439,1.03328544798753,0.73096708103314,0.141341958778396,1.53276662372167
"lt36_eco1",16,0.792546986470608,0.86495997869593,0.506492411648107,0.257914262037535,0.948701385931737,0.690787123894203,0.133819768316534,3.65058511173363
"lt37_eco2",16,1.58552002952821,2.15281580525409,0.943875264805658,0.696484017284017,1.58261502935854,0.886131012074519,0.169227853847069,9.31457319456114
"lt38_eco3",16,1.17224395680418,0.803008071842879,0.893463975991721,0.564955313343476,1.75622782881022,1.19127251546675,0.14409334504951,2.49449397071028
